pair_id,baseline,predicted_intent,retrieval_source_pair_id,machine_relevance,machine_helpfulness,machine_groundedness,machine_appropriateness,machine_unsupported_claims,machine_overall,machine_reason,method,source,generated_utc
pair_110043_1822595,KeywordBaseline,offline_downloads_issue,pair_2799_2798,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.775410+00:00
pair_110043_1822595,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.775933+00:00
pair_1118825_1118824,KeywordBaseline,playback_streaming_issue,pair_849_851,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.776301+00:00
pair_1118825_1118824,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.776627+00:00
pair_115235_115236,KeywordBaseline,playlist_library_curation,pair_855_854,1,2,3,3,0,2,rel_f1=0.10->R1; ov_re=1.00->G3; len=19q->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.777197+00:00
pair_115235_115236,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.777689+00:00
pair_1186704_1186703,KeywordBaseline,content_catalog_licensing,pair_1877_1880,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=23->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.778313+00:00
pair_1186704_1186703,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.778863+00:00
pair_1199565_1199564,KeywordBaseline,offline_downloads_issue,pair_2799_2798,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.779299+00:00
pair_1199565_1199564,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.779667+00:00
pair_1219460_1219458,KeywordBaseline,account_access_credentials,pair_1584824_1584823,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=16act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.780099+00:00
