example_id,pair_id,conversation_id,customer_message,context_before_customer,brand_response,is_initial_inquiry,existing_heuristic_intent,existing_candidate_intents,hard_case_category,response_type,sampling_stratum,human_primary_intent,human_secondary_intents,human_is_ambiguous,human_is_multi_intent,human_notes,annotation_status,annotation_method,suggested_primary_intent,suggested_secondary_intents,suggested_is_ambiguous,suggested_is_multi_intent,suggested_notes,suggestion_confidence,suggestion_reasoning
cand_0001,pair_43459_43458,43459,Hey @SpotifyCares why are there certain songs that the app wont allow me to play anymore?,,@125641 Hey! Are you getting any error messages whenever you try playing certain songs? A screenshot of what you're seeing will also be handy /MA,True,unclear_insufficient_context,,normal,Clarification / Request for Info,intent_coverage_unclear_insufficient_context,playback_streaming_issue,,False,False,,reviewed,,,,,,,,
cand_0002,pair_44240_44238,44240,for some reason i can’t get my local files on spotify to become available on my phone again like i don’t know what happened 😡,,"@125830 Hi there, that doesn't sound good! Can you let us know the device, operating system, and Spotify version you're rocking? We'll see what we can suggest /AK",True,playlist_library_curation,playlist_library_curation,normal,Clarification / Request for Info,intent_coverage_playlist_library_curation,app_technical_device,,False,False,,reviewed,,,,,,,,
cand_0003,pair_44294_44293,44294,@SpotifyCares my wife invited me to family premium. Where do I input the invite code to accept the invitation?,,"@125846 Hey Steven! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT",True,plan_management_discount,plan_management_discount,normal,Redirect / DM,intent_coverage_plan_management_discount,plan_management_discount,,False,False,,reviewed,,,,,,,,
cand_0004,pair_45755_45753,45755,@115888 BUT WHY https://t.co/EVCaXjR4cH,,"@126143 Hi Karen! You can save up to 3,333 offline tracks on your offline device. More info at https://t.co/WSjJgGAmPy /DV",True,unclear_insufficient_context,,insufficient_context,Other / Miscellaneous,hard_case_insufficient_context,unclear_insufficient_context,,True,False,,reviewed,,,,,,,,
cand_0005,pair_54539_54538,54539,What? Kool Keith's album Dr. Octogonocologist isn't on @115888? Do I have to switch back to Google Play Music?,,@128357 Hi Matt. We’ll have it available to you as soon as it’s available to us! More info at https://t.co/0i8GpimuDa /DV,True,other_miscellaneous,,normal,Other / Miscellaneous,intent_coverage_other_miscellaneous,content_catalog_licensing,,False,False,,reviewed,,,,,,,,
cand_0006,pair_74904_74906,74905,"@SpotifyCares But 3,333 songs is practically a third of my library and I want to download my whole library on my phone😭😭","Customer: @115888 offline download limit. WHAAT. WHAAT. WHAAAAAT.
Brand: @132762 Hey there! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WpO5bMgnzC. Let us know if you have any other questions /DN","@132762 We hear you 🎧 Thanks for taking the time to reach out – your feedback will be passed on to the right folks. For anything else, feel free to send a tweet our way /DN",False,offline_downloads_issue,"offline_downloads_issue,playlist_library_curation",multi_intent,Other / Miscellaneous,hard_case_multi_intent,offline_downloads_issue,,False,False,,reviewed,,,,,,,,
cand_0007,pair_83683_83682,83683,"WTELF...?! The song showing on @spotifycares app is not the song playing, &amp; @13281 Android app stops updating scrobbles after 2 or 3 tracks &amp; I can't restart the app to track properly. The blue hell is going on here? I'm not even using Connect FCOL! X_X;",,"@134389 Hey, that doesn't sound right. Can you let us know the Android and Spotify versions you're using? Also, is your Last.fm app up to date? /RH",True,playback_streaming_issue,playback_streaming_issue,normal,Clarification / Request for Info,intent_coverage_playback_streaming_issue,app_technical_device,,False,False,,reviewed,,,,,,,,
cand_0008,pair_89549_89547,89549,@spotifycares I think my account got hacked. But I can't contact you. Advise.,,@135369 Hey there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt,True,account_access_credentials,account_access_credentials,normal,Redirect / DM,intent_coverage_account_access_credentials,account_access_credentials,,False,False,,reviewed,,,,,,,,
cand_0009,pair_93941_2773475,93906,@115888 Until when is this promo po?,Customer: Unli skips. Unli fun. 3 months of Premium for ₱9. https://t.co/FvaKgfarZy,@775174 Hi there! Our Holiday Campaign is up until the 31st Dec of 2017. Hope this helps /XF,False,playback_streaming_issue,,context_dependent_followup,Other / Miscellaneous,hard_case_context_dependent_followup,,,,,,pending,,playback_streaming_issue,,False,False,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Customer follow-up is underspecified, but preceding context matches playback_streaming_issue."
cand_0010,pair_110043_1822595,110040,@115888 are u serious,Customer: 3 months of Premium is just RM2. Play music offline wherever you go. https://t.co/QyR3BuP6Pm,"@547143 Hi there! Hey! Don’t worry, we can help. What’s happening exactly? We'll see what we can suggest /DR",False,offline_downloads_issue,,context_dependent_followup,Clarification / Request for Info,hard_case_context_dependent_followup,,,,,,pending,,offline_downloads_issue,,False,False,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Customer follow-up is underspecified, but preceding context matches offline_downloads_issue."
cand_0011,pair_115235_115236,115233,@SpotifyCares Android 7.1.1 Spotify 8.4.28.875,"Customer: @115888 will you optimise spotify for galaxy note 8?
And since I'm coming from iOS, can't you add gestures for ""queue"" and ""add to my songs,"" it's really useful
Brand: @141622 Hey there! Thanks for the feedback. We'll make sure to pass your suggestion about the gestures on to the right folks. Are you having issues using Spotify on your Galaxy Note 8? /PC
Customer: @SpotifyCares It's just not optimised for the aspect ratio of the phone
Brand: @141622 Hmm. Can you send us your Android and Spotify app versions? We'll see what we can suggest /PC",@141622 Thanks. Can you send us a screenshot of what you see? We'll check it out /NY,False,playlist_library_curation,,context_dependent_followup,Clarification / Request for Info,hard_case_context_dependent_followup,,,,,,pending,,playlist_library_curation,other_miscellaneous,True,True,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (playlist_library_curation, other_miscellaneous); guideline priority rules select playlist_library_curation."
cand_0012,pair_128851_128849,128851,@spotifycares it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want @GooglePlayMusic to get that 9.99 a month off me? Ps pls emulate their local files synching.,,"@144986 Hey Ben! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WDXVuJV0dh /NS",True,offline_downloads_issue,"offline_downloads_issue,playlist_library_curation",multi_intent,Other / Miscellaneous,hard_case_multi_intent,,,,,,pending,,offline_downloads_issue,playlist_library_curation,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (offline_downloads_issue, playlist_library_curation); guideline priority rules select offline_downloads_issue."
cand_0013,pair_152224_152223,152224,why don't i have free hulu anymore? @115888,,"@150784 Hey there, we'd love to look into this for you. Can you DM us your account's username/email? We'll check backstage /JP https://t.co/ldFdZRiNAt",True,plan_management_discount,plan_management_discount,normal,Redirect / DM,intent_coverage_plan_management_discount,,,,,,pending,,plan_management_discount,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching plan_management_discount in the documented taxonomy.
