pair_id,conversation_id,turn_index,is_initial_inquiry,customer_tweet_id,brand_tweet_id,customer_author_id,created_at_customer,created_at_brand,customer_message,brand_response,context_before_customer,response_type,has_dm_redirect,has_clarification,has_troubleshooting,has_external_redirect,has_info_explanation,has_acknowledgement,has_link,customer_candidate_intents,customer_primary_intent
pair_855_854,855,0,True,855,854,115887,Tue Oct 31 19:10:51 +0000 2017,Tue Oct 31 19:36:16 +0000 2017,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",,Clarification / Request for Info,False,True,False,False,False,False,False,playlist_library_curation,playlist_library_curation
pair_853_852,855,1,False,853,852,115887,Tue Oct 31 19:57:59 +0000 2017,Tue Oct 31 21:04:13 +0000 2017,@SpotifyCares iphone 7+ and i have the most recent update for spotify,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB","Customer: i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated
Brand: @115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Clarification / Request for Info,False,True,False,False,False,False,False,app_technical_device,app_technical_device
pair_850_848,855,2,False,850,848,115887,Tue Oct 31 21:41:37 +0000 2017,Tue Oct 31 22:28:16 +0000 2017,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,"Customer: i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated
Brand: @115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB
Customer: @SpotifyCares iphone 7+ and i have the most recent update for spotify
Brand: @115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",Troubleshooting / Actionable,False,True,True,False,False,False,False,"playback_streaming_issue,playlist_library_curation",playlist_library_curation
pair_849_851,855,3,False,849,851,115887,Tue Oct 31 23:36:20 +0000 2017,Tue Oct 31 23:39:03 +0000 2017,@SpotifyCares doesn’t work and i even tried deleting the app,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,"Customer: i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated
Brand: @115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB
Customer: @SpotifyCares iphone 7+ and i have the most recent update for spotify
Brand: @115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB
Customer: @SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat
Brand: @115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS",Redirect / DM,True,True,False,False,False,False,True,,playback_streaming_issue
pair_862_860,862,0,True,862,860,115889,Tue Oct 31 21:43:56 +0000 2017,Tue Oct 31 21:51:22 +0000 2017,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,,Clarification / Request for Info,False,True,False,False,False,False,False,,other_miscellaneous
pair_858_856,862,1,False,858,856,115889,Tue Oct 31 22:01:30 +0000 2017,Tue Oct 31 22:25:16 +0000 2017,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB","Customer: @SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?
Brand: @115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB",Troubleshooting / Actionable,False,True,True,False,True,False,False,,other_miscellaneous
pair_857_859,862,2,False,857,859,115889,Wed Nov 01 07:40:06 +0000 2017,Wed Nov 01 08:30:40 +0000 2017,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,"Customer: @SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?
Brand: @115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB
Customer: @SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S
Brand: @115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",Information / Explanation,False,False,False,False,True,False,True,,other_miscellaneous
pair_866_865,866,0,True,866,865,115891,Tue Oct 31 22:14:42 +0000 2017,Tue Oct 31 22:17:55 +0000 2017,is there a way to find non-explicit songs that are explicit @SpotifyCares,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",,Other / Miscellaneous,False,False,False,False,False,False,False,,other_miscellaneous
pair_864_863,866,1,False,864,863,115891,Tue Oct 31 22:22:05 +0000 2017,Tue Oct 31 22:25:07 +0000 2017,@SpotifyCares ok thx,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS","Customer: is there a way to find non-explicit songs that are explicit @SpotifyCares
Brand: @115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",Generic Acknowledgement,False,False,False,False,False,True,False,,unclear_insufficient_context
pair_1875_1874,1875,0,True,1875,1874,116128,Tue Oct 31 22:24:54 +0000 2017,Tue Oct 31 22:32:21 +0000 2017,Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭,@116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,,Clarification / Request for Info,False,True,False,False,False,False,False,,unclear_insufficient_context
pair_1869_1867,1875,1,False,1869,1867,116128,Tue Oct 31 22:33:55 +0000 2017,Tue Oct 31 22:42:29 +0000 2017,"@SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!","@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB","Customer: Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭
Brand: @116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB",Clarification / Request for Info,False,True,False,False,False,False,False,app_technical_device,app_technical_device
pair_1870_1871,1875,2,False,1870,1871,116128,Tue Oct 31 22:45:10 +0000 2017,Tue Oct 31 22:47:05 +0000 2017,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊","@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB","Customer: Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭
Brand: @116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB
Customer: @SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!
Brand: @116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB
Customer: @SpotifyCares I tried it on web browser and it worked! 😊",Clarification / Request for Info,False,True,False,False,False,False,False,app_technical_device,app_technical_device
pair_1872_1873,1875,3,False,1872,1873,116128,Tue Oct 31 22:48:33 +0000 2017,Tue Oct 31 22:53:34 +0000 2017,@SpotifyCares 1.0.65.320.gac7a8e02,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB","Customer: Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭
Brand: @116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB
Customer: @SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!
Brand: @116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB
Customer: @SpotifyCares I tried it on web browser and it worked! 😊
Customer: @SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊
Brand: @116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",Troubleshooting / Actionable,False,False,True,False,False,False,True,,playback_streaming_issue
pair_1878_1876,1878,0,True,1878,1876,116129,Tue Oct 31 21:54:36 +0000 2017,Tue Oct 31 22:33:32 +0000 2017,"@116130 why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist",@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,,Clarification / Request for Info,False,True,False,False,False,False,False,,unclear_insufficient_context
pair_1877_1879,1878,1,False,1877,1879,116129,Tue Oct 31 23:08:08 +0000 2017,Tue Oct 31 23:27:02 +0000 2017,"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks","@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH","Customer: @116130 why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist
Brand: @116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH",Generic Acknowledgement,False,False,False,False,False,True,True,content_catalog_licensing,content_catalog_licensing
