pair_id,baseline,customer_message,context_before_customer,human_primary_intent,predicted_intent,generated_reply,retrieval_source_pair_id,retrieved_historical_response,reference_response,relevance_human,helpfulness_human,groundedness_human,appropriateness_human,unsupported_claims_human,overall_score_human,human_note,annotation_status,ai_suggestion_shown,ai_suggestion_values,human_confirmed,human_edited,annotation_mode
pair_110043_1822595,KeywordBaseline,@115888 are u serious,Customer: 3 months of Premium is just RM2. Play music offline wherever you go. https://t.co/QyR3BuP6Pm,plan_management_discount,offline_downloads_issue,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",pair_2799_2798,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG","@547143 Hi there! Hey! Don’t worry, we can help. What’s happening exactly? We'll see what we can suggest /DR",,,,,,,,pending,,,,,
pair_110043_1822595,MostFrequentBaseline,@115888 are u serious,Customer: 3 months of Premium is just RM2. Play music offline wherever you go. https://t.co/QyR3BuP6Pm,plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@547143 Hi there! Hey! Don’t worry, we can help. What’s happening exactly? We'll see what we can suggest /DR",,,,,,,,pending,,,,,
pair_1118825_1118824,KeywordBaseline,"@SpotifyCares My Spotify won't play any of my albums, I've already tried logging out of my Spotify multiple times and restarting my phone.",,playback_streaming_issue,playback_streaming_issue,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,pair_849_851,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,"@383966 Hi there. Don't worry, help's here. Can you tell us what device, operating system, and app version you're using? /JU",,,,,,,,pending,,,,,
pair_1118825_1118824,MostFrequentBaseline,"@SpotifyCares My Spotify won't play any of my albums, I've already tried logging out of my Spotify multiple times and restarting my phone.",,playback_streaming_issue,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@383966 Hi there. Don't worry, help's here. Can you tell us what device, operating system, and app version you're using? /JU",,,,,,,,pending,,,,,
pair_115235_115236,KeywordBaseline,@SpotifyCares Android 7.1.1 Spotify 8.4.28.875,"Customer: @115888 will you optimise spotify for galaxy note 8?
And since I'm coming from iOS, can't you add gestures for ""queue"" and ""add to my songs,"" it's really useful
Brand: @141622 Hey there! Thanks for the feedback. We'll make sure to pass your suggestion about the gestures on to the right folks. Are you having issues using Spotify on your Galaxy Note 8? /PC
Customer: @SpotifyCares It's just not optimised for the aspect ratio of the phone
Brand: @141622 Hmm. Can you send us your Android and Spotify app versions? We'll see what we can suggest /PC",app_technical_device,playlist_library_curation,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",pair_855_854,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",@141622 Thanks. Can you send us a screenshot of what you see? We'll check it out /NY,,,,,,,,pending,,,,,
pair_115235_115236,MostFrequentBaseline,@SpotifyCares Android 7.1.1 Spotify 8.4.28.875,"Customer: @115888 will you optimise spotify for galaxy note 8?
And since I'm coming from iOS, can't you add gestures for ""queue"" and ""add to my songs,"" it's really useful
Brand: @141622 Hey there! Thanks for the feedback. We'll make sure to pass your suggestion about the gestures on to the right folks. Are you having issues using Spotify on your Galaxy Note 8? /PC
Customer: @SpotifyCares It's just not optimised for the aspect ratio of the phone
Brand: @141622 Hmm. Can you send us your Android and Spotify app versions? We'll see what we can suggest /PC",app_technical_device,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@141622 Thanks. Can you send us a screenshot of what you see? We'll check it out /NY,,,,,,,,pending,,,,,
pair_1186704_1186703,KeywordBaseline,@115888 is just mixing all the artist that goes by the name Jaya. I just wanna listen to Dahil Tanging Ikaw,,content_catalog_licensing,content_catalog_licensing,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",pair_1877_1880,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",@399042 Hey! Help's here. Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /MG,,,,,,,,pending,,,,,
pair_1186704_1186703,MostFrequentBaseline,@115888 is just mixing all the artist that goes by the name Jaya. I just wanna listen to Dahil Tanging Ikaw,,content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@399042 Hey! Help's here. Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /MG,,,,,,,,pending,,,,,
pair_1199565_1199564,KeywordBaseline,"@SpotifyCares I'm seeing conflicting information, am I capped at 1,333 songs offline or 10,000?",,offline_downloads_issue,offline_downloads_issue,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",pair_2799_2798,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",@401850 2: about offline listening here: https://t.co/1z13MJsB33 /KB,,,,,,,,pending,,,,,
pair_1199565_1199564,MostFrequentBaseline,"@SpotifyCares I'm seeing conflicting information, am I capped at 1,333 songs offline or 10,000?",,offline_downloads_issue,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@401850 2: about offline listening here: https://t.co/1z13MJsB33 /KB,,,,,,,,pending,,,,,
pair_1219460_1219458,KeywordBaseline,"@118266 sy tdk bisa login di apps ""wrong user id / pswd"" tp dgn ID &amp; pwd yg sama bisa login di web. Pls help hrs bgmn",,account_access_credentials,account_access_credentials,@487657 Hey! We’re sorry to hear that. Check out https://t.co/QHn3okq8TV for what to do next /BH,pair_1584824_1584823,@487657 Hey! We’re sorry to hear that. Check out https://t.co/QHn3okq8TV for what to do next /BH,"@406111 Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /MQ",,,,,,,,pending,,,,,
pair_1219460_1219458,MostFrequentBaseline,"@118266 sy tdk bisa login di apps ""wrong user id / pswd"" tp dgn ID &amp; pwd yg sama bisa login di web. Pls help hrs bgmn",,account_access_credentials,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@406111 Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /MQ",,,,,,,,pending,,,,,
pair_128851_128849,KeywordBaseline,@spotifycares it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want @GooglePlayMusic to get that 9.99 a month off me? Ps pls emulate their local files synching.,,offline_downloads_issue,offline_downloads_issue,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",pair_2799_2798,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG","@144986 Hey Ben! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WDXVuJV0dh /NS",,,,,,,,pending,,,,,
pair_128851_128849,MostFrequentBaseline,@spotifycares it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want @GooglePlayMusic to get that 9.99 a month off me? Ps pls emulate their local files synching.,,offline_downloads_issue,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@144986 Hey Ben! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WDXVuJV0dh /NS",,,,,,,,pending,,,,,
pair_1369161_1369160,KeywordBaseline,@115888 why did y'all take jersey devil by Ducktails away?,,content_catalog_licensing,unclear_insufficient_context,@1084 Hey Nick! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /MO,pair_2747480_2747478,@1084 Hey Nick! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /MO,@438699 Hi! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RA,,,,,,,,pending,,,,,
pair_1369161_1369160,MostFrequentBaseline,@115888 why did y'all take jersey devil by Ducktails away?,,content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@438699 Hi! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /RA,,,,,,,,pending,,,,,
pair_152224_152223,KeywordBaseline,why don't i have free hulu anymore? @115888,,plan_management_discount,plan_management_discount,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt",pair_11310_11311,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt","@150784 Hey there, we'd love to look into this for you. Can you DM us your account's username/email? We'll check backstage /JP https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_152224_152223,MostFrequentBaseline,why don't i have free hulu anymore? @115888,,plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@150784 Hey there, we'd love to look into this for you. Can you DM us your account's username/email? We'll check backstage /JP https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_1657195_1657193,KeywordBaseline,I wish @115888 streamed audiobooks,,content_catalog_licensing,unclear_insufficient_context,@1084 Hey Nick! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /MO,pair_2747480_2747478,@1084 Hey Nick! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /MO,"@505641 Hey there! You can find our audiobooks in the Word section under the Browse tab. If you need anything else, just shout /JB",,,,,,,,pending,,,,,
pair_1657195_1657193,MostFrequentBaseline,I wish @115888 streamed audiobooks,,content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@505641 Hey there! You can find our audiobooks in the Word section under the Browse tab. If you need anything else, just shout /JB",,,,,,,,pending,,,,,
pair_1694974_1694973,KeywordBaseline,@117153 Just signed up for spotify premium + hulu and I can't activate hulu because I can not load up the web page :(,,plan_management_discount,plan_management_discount,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt",pair_11310_11311,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt","@514264 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",,,,,,,,pending,,,,,
