pair_id,human_primary_intent,annotation_status
pair_54539_54538,content_catalog_licensing,reviewed
pair_110043_1822595,plan_management_discount,reviewed
pair_115235_115236,app_technical_device,reviewed
pair_128851_128849,offline_downloads_issue,reviewed
pair_152224_152223,plan_management_discount,reviewed
pair_199121_199122,other_miscellaneous,reviewed
pair_199174_199172,other_miscellaneous,reviewed
pair_257849_1802422,playlist_library_curation,reviewed
pair_257844_257843,content_catalog_licensing,reviewed
pair_280591_280590,plan_management_discount,reviewed
pair_322402_322401,playback_streaming_issue,reviewed
pair_371972_371971,content_catalog_licensing,reviewed
pair_378898_378897,playlist_library_curation,reviewed
pair_384897_384896,billing_subscription_payment,reviewed
pair_396203_396204,playlist_library_curation,reviewed
pair_404220_404219,offline_downloads_issue,reviewed
pair_465262_465265,account_access_credentials,reviewed
pair_539211_539210,billing_subscription_payment,reviewed
pair_555496_555495,playlist_library_curation,reviewed
pair_639956_639955,unclear_insufficient_context,reviewed
pair_662956_662955,account_access_credentials,reviewed
pair_678420_678421,app_technical_device,reviewed
pair_739013_739011,other_miscellaneous,reviewed
pair_753650_1870105,playlist_library_curation,reviewed
pair_839957_839956,unclear_insufficient_context,reviewed
pair_848550_848549,playlist_library_curation,reviewed
pair_859964_859963,unclear_insufficient_context,reviewed
pair_872258_872257,app_technical_device,reviewed
pair_875202_875201,content_catalog_licensing,reviewed
pair_877445_877446,playback_streaming_issue,reviewed
pair_886358_886357,playlist_library_curation,reviewed
pair_888581_888582,app_technical_device,reviewed
pair_926727_926726,unclear_insufficient_context,reviewed
pair_929989_929987,playback_streaming_issue,reviewed
pair_1118825_1118824,playback_streaming_issue,reviewed
pair_1186704_1186703,content_catalog_licensing,reviewed
pair_1199565_1199564,offline_downloads_issue,reviewed
pair_1219460_1219458,account_access_credentials,reviewed
pair_1369161_1369160,content_catalog_licensing,reviewed
pair_1657195_1657193,content_catalog_licensing,reviewed
pair_1694974_1694973,plan_management_discount,reviewed
pair_1789318_1789317,content_catalog_licensing,reviewed
pair_1831276_1831275,billing_subscription_payment,reviewed
pair_1882096_1882095,plan_management_discount,reviewed
pair_1989696_1989695,plan_management_discount,reviewed
pair_2105372_2105371,account_access_credentials,reviewed
pair_2206044_2206046,playback_streaming_issue,reviewed
pair_2284413_2284411,content_catalog_licensing,reviewed
pair_2517250_2517253,plan_management_discount,reviewed
pair_2549174_2549173,unclear_insufficient_context,reviewed
